start
done
         845400 function calls (831173 primitive calls) in 0.725 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      227    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
      225    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      224    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      224    0.000    0.000    0.000    0.000 patches.py:1822(<genexpr>)
      224    0.001    0.000    0.001    0.000 enum.py:836(__and__)
      224    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
      224    0.000    0.000    0.018    0.000 sre_compile.py:598(_code)
      224    0.001    0.000    0.055    0.000 sre_compile.py:759(compile)
      224    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      224    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
      224    0.001    0.000    0.035    0.000 sre_parse.py:913(parse)
      215    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      212    0.000    0.000    0.003    0.000 __init__.py:540(dedent)
      211    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      210    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      204    0.000    0.000    0.000    0.000 patches.py:1815(<genexpr>)
      198    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      196    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3392(<genexpr>)
      193    0.003    0.000    0.003    0.000 {built-in method io.open}
      192    0.000    0.000    0.000    0.000 traceback.py:289(walk_stack)
      188    0.000    0.000    0.000    0.000 pyparsing.py:2656(<genexpr>)
      188    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
      186    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
      185    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
      184    0.000    0.000    0.001    0.000 __init__.py:2055(<genexpr>)
      184    0.000    0.000    0.044    0.000 __init__.py:2037(find_on_path)
      184    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      180    0.000    0.000    0.003    0.000 __init__.py:1409(has_metadata)
      180    0.000    0.000    0.001    0.000 __init__.py:1603(_has)
      177    0.000    0.000    0.005    0.000 rcsetup.py:69(f)
      175    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      172    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      171    0.000    0.000    0.000    0.000 six.py:141(__init__)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
      170    0.000    0.000    0.007    0.000 __init__.py:2032(<listcomp>)
      170    0.000    0.000    0.008    0.000 __init__.py:2026(_by_version)
      170    0.000    0.000    0.006    0.000 __init__.py:2565(__init__)
      170    0.001    0.000    0.025    0.000 __init__.py:2578(from_location)
      170    0.001    0.000    0.001    0.000 __init__.py:685(add)
